시군,시도,시행일,조례번호,출처조문,상태,수집현황
오산시,경기,2026.5.6,2372,제45조 / 제51조,수집,건폐 16종 / 용적 16종
양주시,경기,2025.11.24,1484,제51조 / 제56조,수집,건폐 21종 / 용적 21종
이천시,경기,2026.2.27,2341,제46조 / 제56조,수집,건폐 21종 / 용적 21종
구리시,경기,2025.12.2,2375,제54조 / 제59조,수집,건폐 15종 / 용적 15종
안성시,경기,2026.4.10,2234,제55조 / 제60조,수집,건폐 21종 / 용적 21종
포천시,경기,2026.8.14,1890,제51조 / 제56조,수집,건폐 21종 / 용적 21종
의왕시,경기,2024.12.30,2209,제55조 / 제58조,수집,건폐 16종 / 용적 16종
양평군,경기,2024.12.26,3139,제52조 / 제57조,수집,건폐 21종 / 용적 21종
여주시,경기,2025.12.22,1470,제53조 / 제62조,수집,건폐 21종 / 용적 21종
동두천시,경기,2026.5.6,2628,제42조 / 제50조,수집,건폐 21종 / 용적 21종
과천시,경기,2025.10.10,2116,제54조 / 제58조,수집,건폐 15종 / 용적 15종
가평군,경기,2026.4.20,3357,제49조 / 제54조,수집,건폐 21종 / 용적 21종
연천군,경기,2026.4.16,4139,제57조 / 제62조,수집,건폐 21종 / 용적 21종
춘천시,강원,2026.8.13,2074,제51조 / 제56조,수집,건폐 21종 / 용적 21종
원주시,강원,2025.12.31,2592,제49조 / 제54조,수집,건폐 21종 / 용적 21종
강릉시,강원,2025.12.31,1914,제54조 / 제59조,수집,건폐 21종 / 용적 21종
동해시,강원,2025.12.12,2488,제51조 / 제56조,수집,건폐 21종 / 용적 21종
태백시,강원,2026.2.13,2319,제51조 / 제56조,수집,건폐 21종 / 용적 20종
속초시,강원,2026.4.10,3251,제42조 / 제44조,수집,건폐 21종 / 용적 21종
삼척시,강원,2026.9.1,1784,제33조 / 제34조,수집,건폐 21종 / 용적 21종
홍천군,강원,2026.4.10,3136,제51조 / 제56조,수집,건폐 21종 / 용적 21종
횡성군,강원,2026.4.16,2925,제53조 / 제58조,수집,건폐 21종 / 용적 21종
영월군,강원,2026.2.6,3047,제46조 / 제51조,수집,건폐 21종 / 용적 21종
